Fecha;Gasolina superior;Gasolina regular;"Total
gasolinas";Diesel alto azufre;Diesel bajo azufre;Diesel ultra bajo azufre;Diesel;Gas licuado de petr—leo;Gasolina de aviaci—n;Kerosina;Turbo jet;Bunker;Asfalto;PetCoke;Aceites lubricantes;Grasas lubricantes;Solventes;Naftas;Ceras;Petr—leo crudo;Butano;Orimulsi—n;"Mezclas
oleosas";Total Consumo
ene-00;308,156.82;202,645.20;510,802.02;634,667.06; -   ; -   ;634,667.06;194,410.48;1,426.00;64,026.09; -   ;296,766.99;48,446.00; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;1,750,544.64
feb-00;307,766.31;205,530.96;513,297.27;642,380.66; -   ; -   ;642,380.66;174,710.55;1,458.00;62,660.30; -   ;328,116.44;50,597.00; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;1,773,220.22
mar-00;331,910.29;229,499.56;561,409.85;699,807.25; -   ; -   ;699,807.25;189,234.07;1,503.00;61,361.99; -   ;368,589.63;27,593.00; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;1,909,498.79
abr-00;315,648.08;210,680.40;526,328.48;586,803.98; -   ; -   ;586,803.98;174,330.61;1,561.00;61,814.32; -   ;396,300.47;53,794.00; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;1,800,932.86
may-00;319,667.97;208,164.34;527,832.31;656,948.20; -   ; -   ;656,948.20;191,745.15;1,642.00;54,098.32; -   ;449,368.92;60,137.00; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;1,941,771.90
jun-00;300,347.70;195,088.74;495,436.44;570,919.88; -   ; -   ;570,919.88;196,321.93;1,641.00;60,390.32; -   ;404,033.69;40,623.00; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;1,769,366.26
jul-00;308,305.93;204,556.77;512,862.70;576,436.02; -   ; -   ;576,436.02;192,344.50;1,598.00;61,931.56; -   ;291,436.20;36,670.00; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;1,673,278.98
ago-00;323,011.86;218,388.51;541,400.37;593,770.77; -   ; -   ;593,770.77;203,727.08;1,438.00;70,821.94; -   ;373,811.63;25,033.00; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;1,810,002.79
sep-00;326,455.72;213,906.96;540,362.68;590,145.40; -   ; -   ;590,145.40;194,565.10;1,469.00;58,960.01; -   ;322,718.89;16,906.00; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;1,725,127.08
oct-00;323,843.63;213,606.65;537,450.28;641,113.36; -   ; -   ;641,113.36;210,261.83;1,475.00;63,794.12; -   ;260,955.42;22,070.00; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;1,737,120.01
nov-00;320,788.08;209,227.48;530,015.56;657,086.30; -   ; -   ;657,086.30;205,027.95;1,498.00;65,733.00; -   ;310,274.26;25,659.00; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;1,795,294.07
dic-00;366,987.56;230,020.70;597,008.26;673,282.26; -   ; -   ;673,282.26;200,247.56;1,501.00;68,848.50; -   ;284,045.83;20,430.00; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;1,845,363.41
ene-01;300,242.78;164,547.35;464,790.13;569,328.79; -   ; -   ;569,328.79;179,405.99;1,755.58;69,691.25; -   ;399,107.63;30,002.22; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;1,714,081.59
feb-01;301,483.40;174,838.81;476,322.21;597,749.83; -   ; -   ;597,749.83;167,818.14;1,510.58;56,326.42; -   ;404,897.00;34,407.57; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;1,739,031.76
mar-01;355,572.83;201,992.65;557,565.48;736,085.97; -   ; -   ;736,085.97;186,397.33;1,602.58;68,208.99; -   ;406,269.28;32,274.68; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;1,988,404.31
abr-01;355,826.76;198,683.39;554,510.15;606,257.66; -   ; -   ;606,257.66;175,820.35;1,355.58;66,697.90; -   ;397,689.22;26,986.96; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;1,829,317.82
may-01;336,040.04;182,504.09;518,544.13;664,082.66; -   ; -   ;664,082.66;178,303.33;1,273.58;61,641.63; -   ;494,837.73;29,776.72; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;1,948,459.78
jun-01;308,804.70;201,379.48;510,184.18;559,333.03; -   ; -   ;559,333.03;177,826.93;1,171.58;57,796.09; -   ;385,382.02;26,759.22; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;1,718,453.05
jul-01;350,501.97;214,980.24;565,482.21;589,452.73; -   ; -   ;589,452.73;191,041.99;1,637.58;67,033.45; -   ;482,085.37;24,312.29; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;1,921,045.63
ago-01;348,414.65;204,646.77;553,061.42;568,546.37; -   ; -   ;568,546.37;190,295.99;1,412.58;64,093.29; -   ;470,955.27;25,226.00; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;1,873,590.93
sep-01;324,393.96;188,292.35;512,686.31;533,108.39; -   ; -   ;533,108.39;184,039.99;1,710.58;51,773.04; -   ;387,235.78;20,603.10; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;1,691,157.20
oct-01;366,261.63;225,240.95;591,502.58;603,371.18; -   ; -   ;603,371.18;206,176.99;1,102.58;56,193.31; -   ;412,617.56;29,817.10; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;1,900,781.31
nov-01;351,890.63;210,324.95;562,215.58;626,156.18; -   ; -   ;626,156.18;201,335.99;1,791.58;53,500.31; -   ;606,966.56;22,299.10; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;2,074,265.31
dic-01;403,561.63;223,209.95;626,771.58;664,190.18; -   ; -   ;664,190.18;209,792.99;979.58;60,508.31; -   ;402,835.56;19,283.10; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;1,984,361.31
ene-02;368,935.53;200,309.85;569,245.38;726,672.60; -   ; -   ;726,672.60;196,068.61;1,722.92;51,969.77; -   ;512,580.55;16,971.66; -   ; -   ; -   ; -   ; -   ; -   ;37,593.98; -   ; -   ; -   ;2,112,825.45
feb-02;348,917.79;183,119.34;532,037.13;694,344.78; -   ; -   ;694,344.78;180,209.80;923.92;42,796.92; -   ;506,069.63;22,834.54; -   ; -   ; -   ; -   ; -   ; -   ;85,710.75; -   ; -   ; -   ;2,064,927.45
mar-02;385,044.97;212,711.71;597,756.68;656,379.29; -   ; -   ;656,379.29;186,680.97;1,082.92;53,352.86; -   ;446,878.07;22,891.19; -   ; -   ; -   ; -   ; -   ; -   ;64,873.73; -   ; -   ; -   ;2,029,895.69
