Fecha;Gasolina superior;Gasolina regular;"Total
gasolinas";Diesel alto azufre;Diesel bajo azufre;Diesel ultra bajo azufre;Diesel;Gas licuado de petr—leo;Gasolina de aviaci—n;Kerosina;Combustible turbo jet;Bunker;Asfalto ;Petcoke;Aceites lubricantes;Grasas lubricantes;Solventes;Naftas;Ceras;Butano;Petr—leo reconstituido;MTBE;Orimulsi—n;Mezclas oleosas;Petr—leo crudo;Total importaci—n
ene-01;373,963.96;177,776.50;551,740.46;566,101.99; - ; - ;566,101.99;194,065.74;820;33,834.03; - ;214,581.84;27,748.99; - ; - ; - ; - ; - ; - ; - ;715,344.00;8,402.00; - ; - ; - ;2,312,639.05
feb-01;243,091.07;123,115.99;366,207.06;489,525.80; - ; - ;489,525.80;170,703.38;3,054.00;67,439.95; - ;294,609.00;7,503.57; - ; - ; - ; - ; - ; - ; - ;370,166.00; - ; - ; - ; - ;1,769,208.76
mar-01;312,084.38;161,726.42;473,810.80;575,559.68; - ; - ;575,559.68;161,837.37;677;31,787.29; - ;315,263.80;26,304.32; - ; - ; - ; - ; - ; - ; - ;360,530.00; - ; - ; - ; - ;1,945,770.26
abr-01;285,054.89;127,338.74;412,393.63;437,745.42; - ; - ;437,745.42;163,048.64;3,399.00;25,801.18; - ;205,653.00;7,885.89; - ; - ; - ; - ; - ; - ; - ;359,527.00;8,184.00; - ; - ; - ;1,623,637.76
may-01;300,913.67;168,730.19;469,643.86;552,609.13; - ; - ;552,609.13;171,518.86;585;45,529.33; - ;278,371.30;8,443.16; - ; - ; - ; - ; - ; - ; - ;723,346.00;12,680.00; - ; - ; - ;2,262,726.64
jun-01;333,217.19;152,899.09;486,116.28;497,855.26; - ; - ;497,855.26;190,004.42;492;64,444.95; - ;218,765.60;6,229.04; - ; - ; - ; - ; - ; - ; - ;360,369.00; - ; - ; - ; - ;1,824,276.55
jul-01;195,071.86;136,299.13;331,370.99;302,350.02; - ; - ;302,350.02;206,022.83;655;23,654.10; - ;156,109.00;3,103.99; - ; - ; - ; - ; - ; - ; - ;360,570.00;10,642.00; - ; - ; - ;1,394,477.93
ago-01;268,153.26;139,365.07;407,518.33;464,159.13; - ; - ;464,159.13;100,561.47;607;49,890.61; - ;189,692.60;27,821.06; - ; - ; - ; - ; - ; - ; - ;719,303.00;13,357.00; - ; - ; - ;1,972,910.20
sep-01;308,439.07;233,643.75;542,082.82;321,952.94; - ; - ;321,952.94;186,839.02;3,868.00;41,519.91; - ;385,142.30;2,324.85; - ; - ; - ; - ; - ; - ; - ;360,635.00; - ; - ; - ; - ;1,844,364.84
oct-01;305,102.28;141,550.22;446,652.50;438,989.55; - ; - ;438,989.55;163,864.20;650;32,657.33; - ;214,138.00;1,484.40; - ; - ; - ; - ; - ; - ; - ;717,717.00;19,431.00; - ; - ; - ;2,035,583.98
